created_at,text,Polarity,Subjectivity
Mon Apr 18 18:42:45 +0000 2016,"RT @WORIDSTARHIPH0P: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/9uerBPUVgi",[0.164293],0.0
Mon Apr 18 18:42:45 +0000 2016,FUCK DONALD TRUMP #FDT https://t.co/Y5MpogjfFJ,-0.4,0.6
Mon Apr 18 18:42:45 +0000 2016,pretty easy to stick when he re-earns it every two seconds lol https://t.co/EJirO7pcgb,0.49444444444444446,0.8444444444444444
Mon Apr 18 18:42:46 +0000 2016,"RT @WORIDSTARHIPH0P: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/9uerBPUVgi",[0.164293],0.0
Mon Apr 18 18:42:46 +0000 2016,RT @DocWashburn: What you and I have in common with Donald Trump. This: https://t.co/8qRLKVyBPc,-0.3,0.5
Mon Apr 18 18:42:47 +0000 2016,"RT @DailyRapFacts: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/ofqrDS0JL3",[0.164293],0.0
Mon Apr 18 18:42:47 +0000 2016,"RT @DaiIyRaps: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/TollQqYB0w",[0.164293],0.0
Mon Apr 18 18:42:47 +0000 2016,RT @hdestes43: @NRO The headline should read: Mature People With One Foot In Reality Really Dislike Donald Trump. #CruzCrew #ChooseCruz,0.15000000000000002,0.15000000000000002
Mon Apr 18 18:42:48 +0000 2016,"RT @ClassicJams: 20,000+ chanting ""Fuck Donald Trump"" at Coachella https://t.co/mCp7jjqZ6E",-0.4,0.6
Mon Apr 18 18:42:49 +0000 2016,"RT @wpjenna: Earlier today Donald Trump met with a ""diversity coalition"" of his supporters: https://t.co/OSyvKDgKrH",[-0.378698],0.5
Mon Apr 18 18:42:49 +0000 2016,"RT @sexualgifs_: 20,000+ chanting ""Fuck Donald Trump"" at Coachella https://t.co/nxpn1GAai5",-0.4,0.6
Tue Apr 19 19:10:35 +0000 2016,RT @DavidVujanic: Move country  https://t.co/uYz8COFpzp,[0.484454],0.0
Tue Apr 19 19:10:39 +0000 2016,"RT @nytimes: Donald Trump didn't seem to realize he'd invoked 7-Eleven, not 9/11 in a speech https://t.co/A2MAHw8Xlu https://t.co/1tsAiElXJj",[0.170591],0.0
Tue Apr 19 19:10:39 +0000 2016,RT @sageboggs: Friendly reminder that Donald Trump is the awful rich kid's dad in The Little Rascals https://t.co/8QmRnF3B2T,-0.109375,0.6875
Tue Apr 19 19:10:40 +0000 2016,I added a video to a @YouTube playlist https://t.co/7ytHoftn9y Donald Trump Refers To 9/11 As 7/11 | NowThis,[0.0999539],0.0
Tue Apr 19 19:10:41 +0000 2016,"RT @TheAffinityMag: 20,000+ saying ""Fuck Donald Trump"" at Coachella. This is history happening https://t.co/qvuiNAKFnB",-0.4,0.6
Tue Apr 19 19:10:41 +0000 2016,RT @Always_Trump: Big victory for Trump In New York &amp; Trump's the Presumptive Nominee - https://t.co/rurpqXHN5D https://t.co/fvQiDih8eb,0.06818181818181818,0.2772727272727273
Tue Apr 19 19:10:41 +0000 2016,RT @LiveFreeKyle: #Respect The only candidate with #Integrity #TeamTrump #MakeAmericaGreatAgain https://t.co/FSHmcdaWBS,[0.391547],1.0
Tue Apr 19 19:10:41 +0000 2016,bout time https://t.co/O97eTOWUdd,[0.484454],0.0
Tue Apr 19 19:10:42 +0000 2016,"@davidzurawik  F*cking idiot, the male version of Sarah Palin https://t.co/4XrbUnNeYC",-0.4,0.45
Tue Apr 19 19:10:42 +0000 2016,Latest: Rudy Giuliani explains why he is voting for Donald Trump https://t.co/chP6xQcWUl,0.5,0.9
Tue Apr 19 19:10:42 +0000 2016,"RT @natemezmer: 30,000 chanting ""Fuck Donald Trump"" at #Coachella... Shouts out @YG https://t.co/K3Uv6xt4Hn",-0.4,0.6
Tue Apr 19 19:10:43 +0000 2016,Really Mika you and Joe were not in Donald Trump room watching the returns. Say that with a straight face https://t.co/egks02RrFU,0.2,0.30000000000000004
Tue Apr 19 19:10:43 +0000 2016,"RT @BohoOutfitters: Donald Trump: I like it when people wear no makeup 
Me: https://t.co/t4xNwTs6Rm",[0.484454],0.0
Tue Apr 19 19:10:43 +0000 2016,@JoeNBC Don't you get tired of getting on your knees in front of Donald Trump?,-0.4,0.7
Tue Apr 19 19:10:44 +0000 2016,"RT @SOMEXlCAN: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/euiIsiLYvP",[0.164293],0.0
Tue Apr 19 19:10:46 +0000 2016,The most important election of my lifetime!  https://t.co/mvAG5HWJst,0.5,0.75
Tue Apr 19 19:10:46 +0000 2016,"This pic...
what's she saying?
Angry Face 
or
Angry Fece (singular)
(did she just call Donald Trump an angry turd?) https://t.co/xfAQhnYRBr",-0.5,1.0
Tue Apr 19 19:10:46 +0000 2016,"@CarlyFiorina SENIOR LIVES MATTER, let them know you are listening! https://t.co/kJx49Ku5nn https://t.co/B3MYAJdHfd",[0.0545286],0.0
Tue Apr 19 19:10:47 +0000 2016,"RT @FT: New York Republicans are giving Donald Trump a chance, and liking what they see https://t.co/W7Rh5haZel https://t.co/bDy0yvyxH9",0.13636363636363635,0.45454545454545453
Tue Apr 19 19:10:47 +0000 2016,"RT @SOMEXlCAN: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/euiIsiLYvP",[0.164293],0.0
Tue Apr 19 19:10:48 +0000 2016,Of course. How else could he take over the GOP so strategically. https://t.co/Ul18jWebHL,[0.484454],0.0
Tue Apr 19 19:10:48 +0000 2016,"RT @TheDreamCIoset: Donald Trump: I like it when people wear no makeup 
Me: https://t.co/f5lg0fh0eZ",[0.484454],0.0
Tue Apr 19 19:10:49 +0000 2016,Donald : Get Donald Trump To Pay For My Tampons https://t.co/JzycIrdVzN via @Change,[-0.167292],0.0
Tue Apr 19 19:10:49 +0000 2016,RT @carewolf10: We're still here and growing in numbers-Vote Donald Trump-NEW YORK LETS ROLL!! https://t.co/wggY52rdjL,[0.484454],0.0
Tue Apr 19 19:10:50 +0000 2016,I liked a @YouTube video from @bcrevoltfan https://t.co/kljqkveRlx Donkey of the day: Donald Trump,0.6,0.8
Tue Apr 19 19:10:51 +0000 2016,"RT @ParaComedian09: ""One Big Gulp, please."" -Donald Trump visiting 9/11 Memorial",0.0,0.1
Tue Apr 19 19:10:51 +0000 2016,"RT @_jhaaytooreal: Donald Trump said 7/11 was 9/11, and some people think he's fit for president ? #godbless",0.4,0.4
Tue Apr 19 19:10:52 +0000 2016,RT @Rene_gadeCowboy: Veterans need to wake up to this con man .. Using them to pander votes and money https://t.co/9ArbVN5yfj,[-0.272681],0.0
Tue Apr 19 19:10:52 +0000 2016,Donald trump is white privilege #Ijs,0.0,0.0
Tue Apr 19 19:10:52 +0000 2016,"Donald Trump's Jet, a Regular on the Campaign Trail, Is Not Registered to Fly https://t.co/tis7YHcxhI",0.4,0.4884615384615385
Tue Apr 19 19:10:53 +0000 2016,"RT @rachkinsinger: This should be an automatic ""you can't run for president anymore"" mistake. Like actually.  https://t.co/e1sXMQiLP6",[0.484454],0.1
Tue Apr 19 19:10:53 +0000 2016,"RT @BIackPplVines: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/TjarulYD0i",[0.164293],0.0
Tue Apr 19 19:10:54 +0000 2016,RT @TheFix: Donald Trump is a heck of a lot smarter than he gets credit for https://t.co/WauHpgLKmH https://t.co/3jgvVWVCLz,[0.243346],0.0
Tue Apr 19 19:10:55 +0000 2016,RT @OutFrontCNN: New Poll: 63% of the GOP are satisfied with Donald Trump as the nominee https://t.co/BOXw5cMqAf https://t.co/1TX7qjGmwK,0.3181818181818182,0.7272727272727273
Tue Apr 19 19:10:55 +0000 2016,First Draft: Republican Consultant Cheri Jacobus Files Libel Suit Against Donald Trump: Ms. Jacobus accused Mr. Trump and his campaig...,0.25,0.3333333333333333
Tue Apr 19 19:10:55 +0000 2016,RT @TheFix: Donald Trump is a heck of a lot smarter than he gets credit for https://t.co/WauHpgLKmH https://t.co/3jgvVWVCLz,[0.243346],0.0
Tue Apr 19 19:10:55 +0000 2016,"RT @FT: New York Republicans are giving Donald Trump a chance, and liking what they see https://t.co/W7Rh5haZel https://t.co/bDy0yvyxH9",0.13636363636363635,0.45454545454545453
Tue Apr 19 19:10:56 +0000 2016,RT @BlackPplVines: Donald Trump rally vs. Bernie Sander rally https://t.co/H39bgUB906,[0.389078],0.0
Tue Apr 19 19:10:56 +0000 2016,Ben Shapiro: Donald Trump Is A Liar https://t.co/7KotODfkHa #NYPrimary  #PrimaryDay #NeverTrump #ChooseCruz #CruzCrew #JewsForCruz,[0.0130886],0.0
Tue Apr 19 19:10:56 +0000 2016,RT @tpb: Donald Trump Won't Raise The Minimum Wage Because He Will Get Everyone A High-Paying Job https://t.co/0JbMovYzx9,[0.332732],0.0
Tue Apr 19 19:10:56 +0000 2016,Just voted for Donald J. Trump! Never been so excited for a candidate #NYPrimary #VeteransforTrump #Trump2016 #MakeAmericaGreatAgain,0.375,0.75
Tue Apr 19 19:10:58 +0000 2016,"RT @WorldStarFunny: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/5A2YeNMtyc",[0.164293],0.0
Tue Apr 19 19:10:59 +0000 2016,"Donald Trump was just mentioned on CNNHD #donaldtrump #trump2016 
read more:
https://t.co/bFYX2K2XEH",0.5,0.5
Tue Apr 19 19:10:59 +0000 2016,Donald Trump is gonna start war all over again can I move to canada,0.0,0.0
Tue Apr 19 19:10:59 +0000 2016,Donald Trump's Iowa Fly-by with Air Force One theme song https://t.co/OE1sKEHv4p,[0],0.0
Tue Apr 19 19:11:00 +0000 2016,RT @MrLeSam: 812. Mac Miller - Donald Trump https://t.co/l33PgzXC41,[0.0741593],0.0
Tue Apr 19 19:11:00 +0000 2016,"RT @FT: New York Republicans are giving Donald Trump a chance, and liking what they see https://t.co/W7Rh5haZel https://t.co/bDy0yvyxH9",0.13636363636363635,0.45454545454545453
Tue Apr 19 19:11:01 +0000 2016,"https://t.co/EhYaADyBym about: 
Rapper YG has 20k people screaming 'F*** Donald Trump' at Coachella
       #news #hot #daily #mail #forex",0.125,0.42500000000000004
Tue Apr 19 19:11:01 +0000 2016,"Trump OKs 'major' spending surge, expanded roles for Manafort and Wiley. https://t.co/pxa5siujwE #Trump2016 #MAGA https://t.co/nlcqpswaUc",0.0625,0.5
Tue Apr 19 19:11:02 +0000 2016,"@griffm60 Nope, I'm not done telling the truth about #lyinted 

https://t.co/bacblEhaXS",[0.484454],0.0
Tue Apr 19 19:11:02 +0000 2016,"RT @BohoOutfitters: Donald Trump: I like it when people wear no makeup 
Me: https://t.co/t4xNwTs6Rm",[0.484454],0.0
Tue Apr 19 19:11:02 +0000 2016,"@HuffingtonPost Take this in, #HillaryMachine - #WomenForTrump https://t.co/2PFi2XZAgG",[-0.288376],0.0
Tue Apr 19 19:11:02 +0000 2016,Botched or #Onpurpose #drumphagain https://t.co/9vTtVbjLb4,[-0.167805],0.0
Tue Apr 19 19:11:02 +0000 2016,RT @AllKnowA: We all know a dumbass named Donald Trump,0.0,0.0
Tue Apr 19 19:11:03 +0000 2016,"RT @AmyMek: No surprise Donald Trump won the Alabama Primary!

#PrimaryDay 
#Trump2016 https://t.co/4KQYEximM9",0.5,0.5
Tue Apr 19 19:11:03 +0000 2016,"@Always_Trump @baaron2871 ,Damn Skippy 55%+++++ ALL DAY
GO DONALD TRUMP, MAGA",0.0,0.0
Tue Apr 19 19:11:04 +0000 2016,"RT @MakeupGuides: Donald Trump: I like it when people wear no makeup 
Me: https://t.co/3nxnaRY5sK",[0.484454],0.0
Tue Apr 19 19:11:05 +0000 2016,"RT @BohoOutfitters: Donald Trump: I like it when people wear no makeup 
Me: https://t.co/t4xNwTs6Rm",[0.484454],0.0
